"houseID","totalPrice","date"
"103101618571","220","2019-02-02 21:52:57"
"103101620046","1200","2019-02-02 22:01:51"
"103101621230","390","2019-02-02 21:48:37"
"103101625590","295","2019-02-02 21:50:34"
"103101625859","330","2019-02-02 21:52:00"
"103101626338","390","2019-02-02 22:01:23"
"103101626709","880","2019-02-02 21:48:55"
"103101627437","667.7","2019-02-02 21:53:13"
"103101629001","278","2019-02-02 21:51:56"
"103101629001","285","2019-01-01 17:12:07"
"103101629387","580","2019-02-02 21:50:30"
"103101629387","600","2019-01-01 17:09:04"
"103101631411","500","2019-02-02 21:50:47"
"103101634092","640","2019-02-02 21:53:17"
"103101634423","430","2019-02-02 22:01:29"
"103101635938","676","2019-02-02 22:01:21"
"103101636821","360","2019-02-02 21:53:13"
"103101641986","495","2019-02-02 21:57:23"
"103101643142","475","2019-02-02 21:50:45"
"103101643142","490","2019-01-01 17:09:26"
"103101643320","235","2019-02-02 21:59:12"
"103101643320","239","2019-01-01 17:18:12"
"103101647260","1100","2019-02-02 21:51:03"
"103101647283","366","2019-01-01 17:20:18"
"103101654817","160","2019-02-02 21:51:15"
"103101655204","418","2019-02-02 22:00:03"
"103101655275","735","2019-02-02 21:59:16"
"103101655653","190","2019-02-02 21:53:17"
"103101656957","270","2019-02-02 21:52:57"
"103101657242","550","2019-02-02 21:50:32"
"103101660762","399","2019-02-02 21:48:29"
"103101661407","560","2019-02-02 22:03:07"
"103101666482","585","2019-02-02 21:50:47"
"103101670073","750","2019-02-02 21:59:46"
"103101670983","980","2019-02-02 21:59:12"
"103101670983","998","2019-01-01 17:18:15"
"103101671783","565","2019-02-02 22:00:58"
"103101672017","200","2019-02-02 22:01:29"
"103101672051","580","2019-02-02 21:51:25"
"103101673195","460","2019-02-02 21:54:25"
"103101673611","160","2019-02-02 21:57:29"
"103101675294","308","2019-01-01 17:16:08"
"103101677119","560","2019-02-02 22:02:15"
"103101677411","450","2019-02-02 22:03:13"
"103101677457","535","2019-02-02 21:59:36"
"103101677520","565","2019-02-02 21:53:49"
"103101679132","665","2019-02-02 21:51:03"
"103101679151","153","2019-02-02 21:57:48"
"103101679184","155","2019-02-02 22:03:07"
"103101680041","520","2019-02-02 21:51:25"
"103101680049","286","2019-02-02 21:48:13"
"103101680672","806","2019-02-02 22:03:31"
"103101681675","225","2019-02-02 21:57:15"
"103101683381","290","2019-02-02 21:52:19"
"103101683748","335","2019-02-02 21:48:29"
"103101683855","850","2019-02-02 21:50:57"
"103101685173","465","2019-01-01 17:07:56"
"103101685432","400","2019-02-02 21:51:09"
"103101685652","280","2019-02-02 21:54:33"
"103101686487","330","2019-02-02 21:54:45"
"103101687217","248","2019-02-02 21:54:01"
"103101689730","1400","2019-02-02 21:57:19"
"103101689878","245","2019-02-02 21:59:00"
"103101690766","1444","2019-01-01 17:22:33"
"103101691736","280","2019-02-02 21:53:31"
"103101691736","300","2019-01-01 17:12:42"
